id,priority,category,classification,current_value,masked_value,file_path,line_number,symbol_or_component,route_or_usage,is_rendered_in_production,is_test_only,requires_teacher_input,requires_center_confirmation,requires_legal_or_policy_verification,recommended_replacement,recommended_owner,status,notes
F11,P1,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,Tung,Tung,.env,,NEXT_PUBLIC_TEACHER_NAME,"header/hero/title/JSON-LD",yes,no,yes,no,no,"Xac nhan hien thi 'Thay Tung'",Teacher,OPEN,"Gia tri that; chi xac nhan cach xung ho"
F12,P1,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,Giao vien day thuc hanh lai xe,,.env,,NEXT_PUBLIC_TEACHER_TITLE,"about/JSON-LD jobTitle",yes,no,yes,no,no,Chuc danh that,Teacher,OPEN,".env danh dau la gia tri tam"
F13,-,VERIFIED_REAL_DATA,VERIFIED_REAL_DATA,Gan 20 nam,,.env,,NEXT_PUBLIC_EXPERIENCE_LABEL,"hero + about + /gioi-thieu + Person JSON-LD",yes,no,no,no,no,-,Teacher,CLOSED,"Xac nhan 07/08/2026. Luu dang nhan chu, khong lam tron thanh 20 nam"
F13b,-,VERIFIED_REAL_DATA,VERIFIED_REAL_DATA,hoc vien he dan su va he Cong an,,.env,,NEXT_PUBLIC_STUDENT_GROUPS,"hero trust + about + /gioi-thieu",yes,no,no,yes,no,-,Teacher,CLOSED,"Xac nhan 07/08/2026. Nen xac nhan cach goi chinh thuc cua trung tam; doi wording chi sua env"
F14,P1,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,Trung tam dao tao lai xe tai TP.HCM,,.env,,NEXT_PUBLIC_CENTER_NAME,"about/footer",yes,no,yes,yes,no,Ten trung tam that,Teacher/Center,OPEN,"Chung chung"
F15,P1,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,"TP. Thu Duc... / 7:00-20:00",,.env,,"NEXT_PUBLIC_ADDRESS/_TRAINING_AREA/_CONTACT_HOURS","footer/hero/lien-he",yes,no,yes,yes,no,Dia chi/khu vuc/gio that,Teacher/Center,OPEN,"Gia tri tam"
F16,P1,NEEDS_CONFIRMATION,NEEDS_CONFIRMATION,"disclaimer neu 'Truong DH An ninh Nhan dan'",,src/config/site.ts,103,siteConfig.disclaimer,"footer moi trang + trang phap ly",yes,no,yes,yes,yes,"Xac nhan quan he that; neu khong lien quan thi bo ten cu the",Teacher/Center,OPEN,"Neu dich danh mot don vi cu the"
F17,P1,PLACEHOLDER_REQUIRED,PLACEHOLDER_REQUIRED,"24 anh SVG minh hoa",,public/images,,"hero/about/courses/gallery/blog/og",yes,no,yes,yes,no,"Anh that theo docs/REQUIRED_ASSETS.md; OG phai raster 1200x630",Teacher,OPEN,"og-default.svg phai doi sang PNG/JPG"
F18,P2,SAMPLE_CONTENT_REVIEW,SAMPLE_CONTENT_REVIEW,"8 blog author 'Thay day lai xe'",,src/content/blog,10,"blog posts",/kien-thuc + /kien-thuc/[slug],yes,no,yes,no,yes,"Review giong thay; doi author; cap nhat ngay that; doi chieu quy dinh",Teacher,OPEN,"Ngay 2025 khong phai tuong lai"
F19,P2,SAMPLE_CONTENT_REVIEW,SAMPLE_CONTENT_REVIEW,"5 khoa hoc mo ta tu soan",,src/content/courses.ts,,"courses","/khoa-hoc + /khoa-hoc/[slug]",yes,no,yes,yes,yes,"Review giong; xac nhan estimatedDuration + ho so (nhat la C1)",Teacher/Center,OPEN,"tuition:null da dung"
F20,P2,SAMPLE_CONTENT_REVIEW,SAMPLE_CONTENT_REVIEW,"FAQ chung + theo khoa",,src/content/faqs.ts,,"generalFaqs + course.faqs","/ , /khoa-hoc/[slug], JSON-LD FAQPage",yes,no,yes,yes,yes,"Xac nhan ho so/dia diem/hoc phi khoan muc/dieu kien C1",Teacher/Center,OPEN,"Khong neu so hoc phi cung - da dung"
F21,P2,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,"",empty,.env,,NEXT_PUBLIC_GA_MEASUREMENT_ID,"analytics-scripts.tsx",no,no,no,no,no,"GA4 Measurement ID",Developer,OPEN,"Trong = analytics tat, chap nhan duoc truoc prod"
F22,P2,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,"",empty,.env,,"NEXT_PUBLIC_FACEBOOK_PIXEL_ID/_ENABLE_FACEBOOK_PIXEL","analytics-scripts.tsx",no,no,no,no,no,"Pixel ID neu chay ads",Developer,OPEN,"Mac dinh tat"
F23,P2,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,"",empty,.env,,GOOGLE_SITE_VERIFICATION,"layout.tsx verification",no,no,no,no,no,"Ma Search Console",Developer,OPEN,
F24,P3,DEVELOPMENT_SEED,DEVELOPMENT_SEED,"8 lead mau 0912340xxx + admin",,prisma/seed.ts,79,"seedLeads + seedAdminUser","/admin/leads (chi khi da seed)",no,no,no,no,no,"KHONG seed lead vao DB production; chi seed admin",Developer,OPEN,"Idempotent + SEED_MARKER; DB gitignored"
F25,P3,TEST_FIXTURE_SAFE,TEST_FIXTURE_SAFE,"fixtures + in-memory repo + e2e.db",,tests,,"unit/integration/e2e + InMemoryLeadRepository","chi khi chay test",no,yes,no,no,no,"Giu nguyen",Developer,OPEN,"Khong bundle vao production"
F26,P2,CONFIGURATION_REQUIRED,CONFIGURATION_REQUIRED,"NEXT_PUBLIC_* default '[...]'",,src/lib/env/public.ts,14,publicEnvSchema,"fallback khi thieu .env",yes,no,no,no,no,"Giu (fallback dev co chu dich)",Developer,OPEN,"Khong phai loi - la placeholder an toan"
F27,P2,SAMPLE_CONTENT_REVIEW,SAMPLE_CONTENT_REVIEW,"messaging.philosophy/secondary tu soan",,src/config/site.ts,87,siteConfig.messaging,"hero + cac trang",yes,no,yes,no,no,"Review theo giong that cua thay",Teacher,OPEN,
